연번,등록일,상호명,업종명,도로명주소,위도,경도
1,2007-09-11,이츠PC방,인터넷컴퓨터게임시설제공업,"인천광역시 미추홀구 주안로 23-1, 2층 (도화동)",37.46429949,126.6723025
2,2007-09-20,리더 PC cafe,인터넷컴퓨터게임시설제공업,"인천광역시 미추홀구 매소홀로 421, 2층 (학익동)",37.44012573,126.6688316
3,2007-11-02,빠삐용PC,인터넷컴퓨터게임시설제공업,"인천광역시 미추홀구 인하로77번길 30, 2,3층 (용현동)",37.45237867,126.6578279
4,2007-11-13,랭커PC방,인터넷컴퓨터게임시설제공업,"인천광역시 미추홀구 석정로 124 (숭의동, 2층)",37.46847259,126.6491123
5,2007-11-16,에이스PC,인터넷컴퓨터게임시설제공업,"인천광역시 미추홀구 인하로47번길 73, 1층 (용현동)",37.45312901,126.6579138
6,2007-11-21,긱스타PC방,인터넷컴퓨터게임시설제공업,"인천광역시 미추홀구 인하로 59, 3.4층 (용현동)",37.45185476,126.6549861
7,2007-11-22,G2zone 용현점,인터넷컴퓨터게임시설제공업,인천광역시 미추홀구 아암대로29번길 49 (용현동),37.45737425,126.6394134
8,2007-12-07,뉴캐슬PC존,인터넷컴퓨터게임시설제공업,"인천광역시 미추홀구 매소홀로 582, 2층 (문학동)",37.43826295,126.6866335
9,2008-01-16,노블PC,인터넷컴퓨터게임시설제공업,"인천광역시 미추홀구 염창로 46, 3층 (주안동)",37.46562508,126.6788763
10,2008-05-16,그레이PC방,인터넷컴퓨터게임시설제공업,"인천광역시 미추홀구 제일로40번길 93-35, 2층 (주안동)",37.45456159,126.6754772
11,2008-05-21,7PC방,인터넷컴퓨터게임시설제공업,"인천광역시 미추홀구 소성로 285, 2층 (문학동)",37.43762665,126.6788765
12,2008-05-21,e-스테이션PC,인터넷컴퓨터게임시설제공업,"인천광역시 미추홀구 미추홀대로719번길 13, 4층 (주안동)",37.46164157,126.6793516
13,2008-06-05,놀러와PC,인터넷컴퓨터게임시설제공업,"인천광역시 미추홀구 인하로 231, 2층 (주안동)",37.44859171,126.6738201
14,2008-06-12,뉴캐슬PC 레드,인터넷컴퓨터게임시설제공업,"인천광역시 미추홀구 매소홀로514번길 38, 2층 (문학동)",37.43759155,126.6784947
15,2008-06-16,드림존PC방(주안점),인터넷컴퓨터게임시설제공업,인천광역시 미추홀구 미추홀대로 713 (주안동),37.46120127,126.6799231
16,2008-08-28,더엑스PC방,인터넷컴퓨터게임시설제공업,"인천광역시 미추홀구 주안로 112, 10층 1호 (주안동)",37.46366109,126.6820852
17,2008-12-05,넷오솔길 PC존,인터넷컴퓨터게임시설제공업,"인천광역시 미추홀구 한나루로 389, 3층 (학익동)",37.44271093,126.6636691
18,2009-04-30,뉴캐슬 PC존,인터넷컴퓨터게임시설제공업,"인천광역시 미추홀구 매소홀로 582, 3층 (문학동)",37.43826295,126.6866335
19,2009-11-09,피렌체PC방,인터넷컴퓨터게임시설제공업,"인천광역시 미추홀구 석정로 432, 5층 (주안동)",37.46633333,126.6835754
20,2009-11-12,뉴캐슬PC 블루,인터넷컴퓨터게임시설제공업,"인천광역시 미추홀구 소성로 274, 2층 (문학동)",37.4374094,126.6776135
21,2010-04-07,라네이즈PC방 - 신동아점,인터넷컴퓨터게임시설제공업,"인천광역시 미추홀구 미추홀대로 516, 3층 (주안동)",37.44336021,126.6790971
22,2010-11-03,라용PC,인터넷컴퓨터게임시설제공업,"인천광역시 미추홀구 낙섬서로 8, 2층 (용현동)",37.45037637,126.633869
23,2011-02-15,DOXX PC,인터넷컴퓨터게임시설제공업,"인천광역시 미추홀구 한나루로 436, 4층 (학익동)",37.44587444,126.6668711
24,2011-03-28,스타PC,인터넷컴퓨터게임시설제공업,인천광역시 미추홀구 인하로 206 (주안동),37.44848002,126.6708425
25,2011-05-06,브라보PC,인터넷컴퓨터게임시설제공업,"인천광역시 미추홀구 석바위로 87, 2층 우측호 (주안동)",37.46112689,126.6829153
26,2011-05-12,탑클래스PC,인터넷컴퓨터게임시설제공업,"인천광역시 미추홀구 경인로 401, 3층 (주안동)",37.45846378,126.6847358
27,2011-06-27,하나PC,인터넷컴퓨터게임시설제공업,"인천광역시 미추홀구 미추홀대로 716, 112호 (주안동)",37.46129119,126.680592
28,2011-09-08,와따PC,인터넷컴퓨터게임시설제공업,"인천광역시 미추홀구 능해길 5, 105호 (용현동)",37.45998511,126.6381475
29,2012-05-18,피씨앤쿡 제물포점,인터넷컴퓨터게임시설제공업,"인천광역시 미추홀구 경인로 140 (숭의동, 2층,3층)",37.46601105,126.658059
30,2012-07-12,노블PC방,인터넷컴퓨터게임시설제공업,"인천광역시 미추홀구 인하로 289, 2층 (주안동)",37.44822011,126.6803735
31,2013-03-22,지존PC,인터넷컴퓨터게임시설제공업,"인천광역시 미추홀구 인주대로 184-2, 1층 14,15호 (용현동)",37.45527578,126.6573622
32,2013-12-18,하늘다리PC,인터넷컴퓨터게임시설제공업,"인천광역시 미추홀구 주안로 219, 3층 (주안동)",37.46387114,126.6943547
33,2014-02-17,아이원,인터넷컴퓨터게임시설제공업,"인천광역시 미추홀구 인하로67번길 24-31, 2층 (용현동)",37.4523982,126.6572598
34,2014-05-15,아이센스PC존,인터넷컴퓨터게임시설제공업,"인천광역시 미추홀구 독정이로 40, 2층 (용현동)",37.45939518,126.6535572
35,2014-07-01,GreenPC방,인터넷컴퓨터게임시설제공업,"인천광역시 미추홀구 제일로 35, 2층 (도화동)",37.45904784,126.6743437
36,2014-10-31,5STAR PC,인터넷컴퓨터게임시설제공업,"인천광역시 미추홀구 제일로 48, 2층 (도화동)",37.45850227,126.6754524
37,2015-03-20,노이PC방,인터넷컴퓨터게임시설제공업,"인천광역시 미추홀구 독배로 443, 지하1층 (숭의동)",37.4588359,126.6481512
38,2015-04-29,이츠PC,인터넷컴퓨터게임시설제공업,"인천광역시 미추홀구 낙섬중로 100, 유원아파트 상가 지하1층 1,4,5,6,9,10,11호 (용현동)",37.4562046,126.64123
39,2015-07-31,리벨PC,인터넷컴퓨터게임시설제공업,"인천광역시 미추홀구 석정로 327, 3층 (도화동)",37.4679645,126.6718078
40,2015-08-07,세븐PC방,인터넷컴퓨터게임시설제공업,"인천광역시 미추홀구 미추홀대로 620, 지층 (주안동)",37.45258534,126.6801119
